date,temp_moyenne,temp_min,temp_max,precipitations,neige,direction_vent,vitesse_vent,rafales_vent,pression,ensoleillement
2023-01-01,13.1,11.4,15.0,5.4,,,15.2,50.0,1015.0,0.0
2023-01-02,10.8,7.7,14.3,2.2,,,11.4,46.0,1020.0,99.0
2023-01-03,7.7,5.7,9.7,1.2,,,12.1,37.0,1028.4,182.0
2023-01-04,11.8,9.9,13.6,1.2,,,19.0,57.0,1024.5,2.0
2023-01-05,12.8,11.5,13.8,0.2,,,11.1,39.0,1025.0,18.0
2023-01-06,11.5,10.5,13.3,0.0,,,12.8,37.0,1021.7,25.0
2023-01-07,10.1,7.7,11.1,0.8,,,16.6,61.0,1011.8,156.0
2023-01-08,9.6,7.4,11.1,2.8,,,16.8,55.0,1002.2,123.0
2023-01-09,7.3,6.1,9.1,3.0,,,17.4,50.0,1006.6,81.0
2023-01-10,7.1,4.3,11.5,4.8,,,13.9,46.3,1018.9,3.0
2023-01-11,10.9,9.6,12.2,0.0,,,17.0,50.0,1016.9,179.0
2023-01-12,10.8,9.4,11.8,2.8,,,20.1,59.3,1015.9,5.0
2023-01-13,9.6,7.9,11.3,3.3,,,15.0,57.0,1016.6,242.0
2023-01-14,10.3,8.1,12.4,8.9,,,19.9,70.0,1010.9,0.0
2023-01-15,7.3,5.8,9.0,5.2,,,19.1,63.0,1007.5,244.0
2023-01-16,5.6,3.9,6.9,1.4,,,21.2,76.0,987.4,31.0
2023-01-17,2.6,1.0,4.0,2.4,,,10.4,30.0,987.8,5.0
2023-01-18,2.6,-0.1,5.6,0.0,,,10.2,31.0,999.7,274.0
2023-01-19,1.6,0.4,2.9,1.2,3.0,,7.8,22.2,1009.0,94.0
2023-01-20,3.2,0.1,6.3,0.0,1.0,,10.7,26.0,1018.4,141.0
2023-01-21,2.3,-1.3,4.7,0.0,,,18.6,42.0,1027.9,194.0
2023-01-22,1.0,-0.1,2.5,0.0,,,17.5,44.0,1032.7,9.0
2023-01-23,2.2,1.3,3.3,0.0,,,14.7,44.0,1034.1,17.0
2023-01-24,2.6,1.7,3.4,0.2,,,13.6,39.0,1035.9,40.0
2023-01-25,1.2,-0.4,3.0,0.0,,,9.8,35.0,1033.3,30.0
2023-01-26,2.7,0.5,5.4,0.2,,,8.9,35.0,1025.3,0.0
2023-01-27,4.9,4.2,5.4,0.2,,,16.7,44.0,1025.3,3.0
2023-01-28,3.1,-2.7,4.1,0.0,,,16.1,42.0,1029.8,21.0
2023-01-29,2.3,-0.8,4.8,0.0,,,7.6,24.0,1030.6,295.0
2023-01-30,6.0,2.0,9.4,0.0,,,10.4,37.0,1027.3,10.0
2023-01-31,5.6,1.8,9.0,0.0,,,9.4,35.0,1029.4,106.0
2023-02-01,8.3,5.5,9.8,0.0,,,13.0,39.0,1028.9,111.0
